entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,size_lots,pnl,exit_reason,is_winner,cumulative_pnl,trade_num,duration,balance_after,running_win_rate,entry_hour,entry_dow,session
2024-07-02 14:00:00,2024-07-03 00:15:00,SELL,204.6515,204.99291296076143,205.16976918721198,203.56620019817353,0.01,-2.2191842449493038,Stop Loss,False,-2.2191842449493038,1,0 days 10:15:00,97.7808157550507,0.0,14,Tuesday,Overlap (13-17)
2024-07-03 00:30:00,2024-07-03 06:15:00,SELL,204.997,205.33526957503173,205.46523377013207,203.9156291575432,0.01,-2.1987522377061595,Stop Loss,False,-4.417936482655463,2,0 days 05:45:00,95.58206351734454,0.0,0,Wednesday,Asia (00-08)
2024-07-03 06:15:00,2024-07-03 07:15:00,SELL,205.3025,205.48661828154383,205.76353501915932,204.19207207202913,0.01,-1.196768830034813,Stop Loss,False,-5.614705312690276,3,0 days 01:00:00,94.38529468730972,0.0,6,Wednesday,Asia (00-08)
2024-07-03 09:00:00,2024-07-03 14:00:00,BUY,205.41899999999998,205.8112664595131,205.01821767711638,206.15522078895566,0.01,2.549731986835212,Stop Loss,True,-3.064973325855064,4,0 days 05:00:00,96.93502667414494,0.25,9,Wednesday,London (08-13)
2024-07-03 16:00:00,2024-07-04 18:45:00,SELL,206.04200000000003,205.76379185339428,206.58868588042262,204.94353585672383,0.01,1.8083529529373692,Stop Loss,True,-1.2566203729176948,5,1 days 02:45:00,98.7433796270823,0.4,16,Wednesday,Overlap (13-17)
2024-07-04 21:00:00,2024-07-05 07:30:00,SELL,205.841,205.42523480807756,206.35306443309784,204.80404475069048,0.01,2.702473747495901,Stop Loss,True,1.4458533745782063,6,0 days 10:30:00,101.4458533745782,0.5,21,Thursday,New York (17-22)
2024-07-05 13:00:00,2024-07-05 13:45:00,SELL,206.0285,206.41233022865515,206.51153351402283,204.97505172824862,0.02,-4.989792972516852,Stop Loss,False,-3.543939597938646,7,0 days 00:45:00,96.45606040206135,0.42857142857142855,13,Friday,Overlap (13-17)
2024-07-05 13:45:00,2024-07-08 02:15:00,SELL,206.3915,205.35868089580538,206.83922956371308,205.35868089580538,0.01,6.713324177265093,Take Profit,True,3.1693845793264472,8,2 days 12:30:00,103.16938457932645,0.5,13,Friday,Overlap (13-17)
2024-07-08 13:00:00,2024-07-09 10:15:00,SELL,206.207,206.34261470589783,206.76008917760848,205.1802749938965,0.02,-1.7629911766718749,Stop Loss,False,1.4063934026545724,9,0 days 21:15:00,101.40639340265457,0.4444444444444444,13,Monday,Overlap (13-17)
2024-07-09 15:00:00,2024-07-10 01:30:00,SELL,206.454,206.608274555538,206.9748671450615,205.36298470878603,0.02,-2.0055692219939374,Stop Loss,False,-0.599175819339365,10,0 days 10:30:00,99.40082418066063,0.4,15,Tuesday,Overlap (13-17)
2024-07-10 11:15:00,2024-07-10 13:30:00,BUY,206.86499999999998,206.9810892357007,206.42749594092368,207.61336422204968,0.01,0.7545800320546334,Stop Loss,True,0.15540421271526839,11,0 days 02:15:00,100.15540421271527,0.45454545454545453,11,Wednesday,London (08-13)
2024-07-10 13:45:00,2024-07-11 06:00:00,BUY,207.32649999999998,208.0720459952354,206.93743010902404,208.0720459952354,0.02,9.692097938060613,Take Profit,True,9.847502150775881,12,0 days 16:15:00,109.84750215077588,0.5,13,Wednesday,Overlap (13-17)
2024-07-11 09:00:00,2024-07-11 12:30:00,SELL,207.98250000000002,205.62011935294382,208.53309028267861,206.9384999585152,0.02,30.710948411730584,Stop Loss,True,40.558450562506465,13,0 days 03:30:00,140.55845056250647,0.5384615384615384,9,Thursday,London (08-13)
2024-07-11 16:30:00,2024-07-11 22:00:00,BUY,204.73250000000002,205.30644865317885,204.33244935393336,205.64382308244706,0.02,7.461332491324811,Stop Loss,True,48.019783053831276,14,0 days 05:30:00,148.01978305383128,0.5714285714285714,16,Thursday,Overlap (13-17)
2024-07-12 04:00:00,2024-07-12 10:00:00,BUY,205.519,206.26702864789962,205.09803017997743,206.26702864789962,0.02,9.724372422695012,Take Profit,True,57.74415547652629,15,0 days 06:00:00,157.7441554765263,0.6,4,Friday,Asia (00-08)
2024-07-12 10:15:00,2024-07-12 12:00:00,SELL,206.28750000000002,205.93802314304767,206.8006466150284,205.19556727409366,0.02,4.543199140380551,Stop Loss,True,62.28735461690684,16,0 days 01:45:00,162.28735461690684,0.625,10,Friday,London (08-13)
2024-07-12 13:15:00,2024-07-12 13:30:00,BUY,204.92849999999999,204.92235332431505,204.46900090312957,205.71685905790326,0.02,-0.07990678390410721,Stop Loss,False,62.20744783300273,17,0 days 00:15:00,162.20744783300273,0.5882352941176471,13,Friday,Overlap (13-17)
2024-07-14 23:00:00,2024-07-15 11:45:00,SELL,205.233,205.22457612814927,205.73419910240173,204.17488623428346,0.02,0.10951033405959265,Stop Loss,True,62.316958167062324,18,0 days 12:45:00,162.31695816706232,0.6111111111111112,23,Sunday,New York (17-22)
2024-07-15 15:15:00,2024-07-15 16:30:00,SELL,204.94650000000001,204.66251427645113,205.52504998707772,203.87025187873843,0.02,3.6918144061354496,Stop Loss,True,66.00877257319777,19,0 days 01:15:00,166.00877257319777,0.631578947368421,15,Monday,Overlap (13-17)
2024-07-16 07:30:00,2024-07-17 01:00:00,SELL,205.467,205.6708198342962,206.02256405186654,204.4126758975983,0.02,-2.6496578458503848,Stop Loss,False,63.35911472734739,20,0 days 17:30:00,163.3591147273474,0.6,7,Tuesday,Asia (00-08)
2024-07-17 01:00:00,2024-07-17 07:15:00,SELL,205.6005,204.7849058759538,206.1077585105896,204.5581111316681,0.02,10.602723612600785,Stop Loss,True,73.96183833994817,21,0 days 06:15:00,173.96183833994817,0.6190476190476191,1,Wednesday,Asia (00-08)
2024-07-17 14:00:00,2024-07-17 23:00:00,SELL,203.7365,202.9832344648064,204.21774907016754,202.68799825811388,0.03,14.688677936275312,Stop Loss,True,88.65051627622348,22,0 days 09:00:00,188.65051627622347,0.6363636363636364,14,Wednesday,Overlap (13-17)
2024-07-18 13:15:00,2024-07-18 13:45:00,BUY,203.13049999999998,203.00920947843468,202.74517250585555,203.93801980543134,0.03,-2.3651651705233405,Stop Loss,False,86.28535110570014,23,0 days 00:30:00,186.28535110570016,0.6086956521739131,13,Thursday,Overlap (13-17)
2024-07-18 13:45:00,2024-07-18 15:30:00,BUY,203.2115,203.34434479641095,202.81748113536835,204.00429561042785,0.03,2.5904735300135258,Stop Loss,True,88.87582463571367,24,0 days 01:45:00,188.87582463571368,0.625,13,Thursday,Overlap (13-17)
2024-07-18 21:30:00,2024-07-19 05:00:00,SELL,203.688,203.83991609350605,204.26485718536375,202.5563068037033,0.03,-2.9623638233681646,Stop Loss,False,85.9134608123455,25,0 days 07:30:00,185.9134608123455,0.6,21,Thursday,New York (17-22)
2024-07-19 05:00:00,2024-07-19 06:45:00,SELL,203.95600000000002,203.73592450533152,204.47354400730134,202.88649560785296,0.03,4.291472146035602,Stop Loss,True,90.20493295838111,26,0 days 01:45:00,190.2049329583811,0.6153846153846154,5,Friday,Asia (00-08)
2024-07-19 12:00:00,2024-07-21 23:45:00,SELL,203.565,203.55391928385373,204.03903380870818,202.47868381977082,0.03,0.21607396485221386,Stop Loss,True,90.42100692323332,27,2 days 11:45:00,190.42100692323334,0.6296296296296297,12,Friday,London (08-13)
2024-07-22 03:00:00,2024-07-22 06:00:00,SELL,203.5475,202.5345339895693,204.0093534207344,202.53245571613314,0.03,19.75283720339897,Stop Loss,True,110.17384412663229,28,0 days 03:00:00,210.17384412663228,0.6428571428571429,3,Monday,Asia (00-08)
2024-07-22 12:00:00,2024-07-22 16:45:00,SELL,202.834,202.88734503188937,203.36681957507133,201.78873151206972,0.03,-1.0402281218426026,Stop Loss,False,109.13361600478969,29,0 days 04:45:00,209.1336160047897,0.6206896551724138,12,Monday,London (08-13)
2024-07-22 23:30:00,2024-07-23 03:45:00,SELL,203.0915,202.0196059384346,203.6549408354759,202.0196059384346,0.03,20.901934200525062,Take Profit,True,130.03555020531473,30,0 days 04:15:00,230.03555020531473,0.6333333333333333,23,Monday,New York (17-22)
2024-07-23 03:45:00,2024-07-23 07:00:00,SELL,202.0705,202.3795656135128,202.58423425722123,200.97589066791537,0.03,-6.026779463499324,Stop Loss,False,124.00877074181541,31,0 days 03:15:00,224.0087707418154,0.6129032258064516,3,Tuesday,Asia (00-08)
2024-07-23 07:00:00,2024-07-23 07:45:00,SELL,202.3035,201.83116088141816,202.75839195585252,201.17282294368746,0.03,9.210612812346213,Stop Loss,True,133.21938355416162,32,0 days 00:45:00,233.21938355416162,0.625,7,Tuesday,Asia (00-08)
