session,trades,net_pnl,win_rate,avg_pnl
Asia (00-08),637,176993.5003921863,0.5463108320251178,277.8547886847509
London (08-13),506,87439.1634938156,0.525691699604743,172.80467093639447
New York (17-22),364,139588.21515451605,0.5576923076923077,383.48410756735177
Overlap (13-17),472,66749.81450610113,0.4978813559322034,141.41909852987527
