exit_week,trades,wins,losses,win_rate,gross_profit,gross_loss,net_pnl,avg_pnl,max_win,max_loss,profit_factor,avg_duration,cumulative_pnl
2024-07-01/2024-07-07,7,3,4,0.42857142857142855,7.0605586872684825,10.604498285207129,-3.543939597938646,-0.5062770854198065,2.702473747495901,-4.989792972516852,0.6658078956095163,0 days 08:34:17.142857142,-3.543939597938646
2024-07-08/2024-07-14,10,7,3,0.7,69.5998546135113,3.8484671825699195,65.75138743094138,6.575138743094138,30.710948411730584,-2.0055692219939374,18.08508460946108,0 days 12:46:30,62.20744783300273
2024-07-15/2024-07-21,10,7,3,0.7,36.19074592997248,7.97718683974189,28.21355909023059,2.821355909023059,14.688677936275312,-2.9623638233681646,4.536780528904281,0 days 11:48:00,90.42100692323332
2024-07-22/2024-07-28,45,24,21,0.5333333333333333,225.08185893371615,109.58412912069916,115.497729813017,2.5666162180670447,26.042186808585825,-10.602962589263768,2.053964025080716,0 days 01:24:40,205.9187367362503
2024-07-29/2024-08-04,54,30,24,0.5555555555555556,753.1655645057355,263.27939304315095,489.88617146258446,9.071966138196009,118.82985710569656,-33.43874377906282,2.8607083744768933,0 days 01:12:13.333333333,695.8049081988347
2024-08-05/2024-08-11,86,31,55,0.36046511627906974,455.56163038175146,710.1930381804896,-254.63140779873805,-2.96083032324114,108.78596579973691,-38.01670279502828,0.6414616954693019,0 days 00:32:26.511627906,441.17350040009666
2024-08-12/2024-08-18,18,11,7,0.6111111111111112,222.02245630585088,71.21327438898754,150.80918191686334,8.378287884270186,64.42360980594923,-27.28644536397077,3.117711665568134,0 days 05:47:30,591.98268231696
2024-08-19/2024-08-25,24,17,7,0.7083333333333334,586.6176342528418,143.2649980392576,443.3526362135841,18.473026508899338,105.98218088149906,-38.44147694099023,4.094633317847087,0 days 04:01:52.500000,1035.335318530544
2024-08-26/2024-09-01,16,9,7,0.5625,247.00174700998798,77.38645673241348,169.6152902775745,10.600955642348406,110.73631165027494,-36.652835215687105,3.1917955342505144,0 days 03:41:15,1204.9506088081187
2024-09-02/2024-09-08,38,21,17,0.5526315789473685,1108.1951390858908,680.7109002576716,427.4842388282194,11.249585232321564,163.56283918022925,-75.74317851279505,1.627996758486462,0 days 03:22:06.315789473,1632.434847636338
2024-09-09/2024-09-15,42,22,20,0.5238095238095238,1098.7366416920663,783.0963057171142,315.6403359749521,7.515246094641717,188.49946085214415,-81.55850244760411,1.4030670731946653,0 days 02:49:38.571428571,1948.07518361129
2024-09-16/2024-09-22,5,4,1,0.8,611.0102397954872,58.537178894317776,552.4730609011694,110.49461218023389,251.8662986278509,-58.537178894317776,10.437985761127928,0 days 03:42:00,2500.5482445124594
2024-09-23/2024-09-29,34,15,19,0.4411764705882353,2603.778510578371,1490.0386180353296,1113.7398925430407,32.757055663030606,879.9935250392206,-137.1341161903063,1.747457065248113,0 days 03:18:05.294117647,3614.2881370555
2024-09-30/2024-10-06,32,16,16,0.5,2398.034284809078,1164.8299844686876,1233.2043003403908,38.53763438563721,519.5361622561388,-180.64886231422173,2.058698966186804,0 days 01:40:18.750000,4847.492437395891
2024-10-07/2024-10-13,12,6,6,0.5,1031.4982615627023,452.9037171311205,578.5945444315818,48.21621203596515,481.0616832256261,-124.82147548051245,2.2775221808658115,0 days 03:06:15,5426.086981827473
2024-10-14/2024-10-20,10,7,3,0.7,1273.865710435532,415.2186290982958,858.6470813372362,85.86470813372361,308.87777794934055,-237.08446669872873,3.0679396856588688,0 days 03:06:00,6284.734063164709
2024-10-21/2024-10-27,16,9,7,0.5625,2756.7392310106966,1358.255801202367,1398.4834298083297,87.4052143630206,804.2574282646098,-405.7564832898067,2.0296171226144235,0 days 02:59:03.750000,7683.217492973039
2024-10-28/2024-11-03,20,13,7,0.65,5031.648516424768,1093.220226446223,3938.428289978545,196.92141449892725,959.9223845243351,-350.12800881057126,4.6025936903686455,0 days 06:00:45,11621.645782951584
2024-11-04/2024-11-10,22,13,9,0.5909090909090909,4658.230827352479,2835.8516466633537,1822.3791806891259,82.83541730405118,1264.196335339533,-538.9642581162265,1.642621479453386,0 days 03:36:08.181818181,13444.02496364071
2024-11-11/2024-11-17,23,9,14,0.391304347826087,5865.943314657858,3966.499240172048,1899.4440744858107,82.58452497764394,1458.8455234229411,-609.4471770015667,1.478871659736766,0 days 03:45:00,15343.46903812652
2024-11-18/2024-11-24,48,19,29,0.3958333333333333,10265.659574210384,8903.950655101362,1361.7089191090204,28.36893581477126,2216.5100167388073,-737.7128899991408,1.1529331160802037,0 days 01:49:41.250000,16705.17795723554
2024-11-25/2024-12-01,33,19,14,0.5757575757575758,8483.440834282228,5920.445430604754,2562.9954036774775,77.66652738416599,1808.5144345521721,-893.7711098926684,1.4329058402309558,0 days 02:32:16.363636363,19268.173360913017
2024-12-02/2024-12-08,18,13,5,0.7222222222222222,10498.842125180674,2916.492766422639,7582.349358758034,421.241631042113,2410.1453742027056,-726.1551571317144,3.599817646062096,0 days 03:40:00,26850.52271967105
2024-12-09/2024-12-15,11,7,4,0.6363636363636364,3479.752556339739,2368.474048386366,1111.2785079533726,101.02531890485206,2838.002470636338,-1189.9760196158347,1.4691959824134375,0 days 04:31:21.818181818,27961.801227624423
2024-12-16/2024-12-22,28,16,12,0.5714285714285714,12760.498735661124,7951.9201987927545,4808.578536868369,171.7349477452989,1713.3999537325717,-1554.3059017538847,1.6047065886801024,0 days 01:53:02.142857142,32770.37976449279
2024-12-23/2024-12-29,8,2,6,0.25,1443.2206757280892,4729.3110151128185,-3286.090339384729,-410.7612924230911,760.5034636221998,-1424.0413997771623,0.30516510145266074,0 days 10:20:37.500000,29484.28942510806
