exit_month,trades,wins,losses,win_rate,gross_profit,gross_loss,net_pnl,avg_pnl,max_win,max_loss,profit_factor,avg_duration,cumulative_pnl
2024-07,98,58,40,0.5918367346938775,642.2076279912569,228.88341396265548,413.3242140286015,4.217594020700015,41.93867445717132,-22.756815555691464,2.805828595758534,0 days 04:10:33.673469387,413.3242140286015
2024-08,172,81,91,0.47093023255813954,1960.0944226293789,1168.4680278498618,791.6263947795171,4.6024790394157975,118.82985710569656,-38.44147694099023,1.6774908477694646,0 days 01:55:38.372093023,1204.9506088081187
2024-09,128,66,62,0.515625,5603.8089673113445,3416.2405601268847,2187.56840718446,17.090378181128592,879.9935250392206,-161.19130912720945,1.6403437839585893,0 days 03:00:42.187500,3392.5190159925787
2024-10,75,44,31,0.5866666666666667,11393.811389465545,3785.204656498017,7608.606732967528,101.44808977290037,959.9223845243351,-405.7564832898067,3.010091242994199,0 days 02:58:48,11001.125748960107
2024-11,132,63,69,0.4772727272727273,30189.160729120653,21922.11311716774,8267.047611952908,62.62914857540082,2216.5100167388073,-893.7711098926684,1.3771099787583336,0 days 02:59:39.545454545,19268.173360913017
2024-12,74,44,30,0.5945945945945946,34300.729782563576,20188.743603927815,14111.98617863577,190.7025159275104,3121.3971892654563,-1554.3059017538847,1.6990026945455985,0 days 03:48:14.594594594,33380.15953954879
2025-01,133,71,62,0.5338345864661654,78661.64843397489,43920.37574277543,34741.27269119946,261.21257662555985,3561.987692117654,-1701.1339262127692,1.7910058168597096,0 days 04:02:55.939849624,68121.43223074825
2025-02,111,60,51,0.5405405405405406,78840.71759904656,37228.99817610382,41611.71942294274,374.8803551616463,3642.6256686448683,-1426.2195618766996,2.117723319497006,0 days 04:11:04.864864864,109733.15165369099
2025-03,81,43,38,0.5308641975308642,54649.91867986237,27795.804050646708,26854.11462921566,331.53227937303285,3558.7357968091596,-1618.569259345513,1.9661211663560731,0 days 04:35:00,136587.26628290664
2025-04,144,77,67,0.5347222222222222,100584.36727154034,46210.771816433225,54373.59545510713,377.5944128826884,9765.510065330225,-1535.581575870296,2.176643308860967,0 days 03:13:38.750000,190960.86173801377
2025-05,60,29,31,0.48333333333333334,41306.72678328484,20331.76543908289,20974.961344201944,349.5826890700324,3625.6949692964185,-1418.241989612561,2.0316350248602943,0 days 08:06:15,211935.8230822157
2025-06,66,35,31,0.5303030303030303,41972.594701883645,20830.288401177844,21142.3063007058,320.3379742531182,3744.3038165568937,-1553.9334088563735,2.014979048466286,0 days 08:27:30,233078.1293829215
2025-07,68,34,34,0.5,42791.153267072514,18849.609614803885,23941.543652268625,352.081524298068,3866.4190235631463,-1377.3817316577563,2.2701347211703364,0 days 07:56:41.470588235,257019.67303519012
2025-08,59,34,25,0.576271186440678,46756.0231422792,18201.463268023374,28554.55987425582,483.9755910890817,3705.60186505314,-1320.0395240973037,2.568805730274496,0 days 08:51:21.355932203,285574.23290944594
2025-09,38,21,17,0.5526315789473685,16734.48191616854,10560.20035790332,6174.281558265222,162.48109363855846,2601.1708915233244,-1470.4497963541457,1.5846746604238762,0 days 15:20:07.894736842,291748.51446771115
2025-10,72,43,29,0.5972222222222222,63591.169325684576,18737.066075963055,44854.10324972152,622.9736562461322,6575.385313961583,-1450.0248253345305,3.3938701538370966,0 days 06:32:05,336602.6177174327
2025-11,62,30,32,0.4838709677419355,31512.26846689775,17660.65618187833,13851.61228501942,223.413101371281,3480.313339829408,-1244.5993038490997,1.7843203639982874,0 days 05:47:39.677419354,350454.2300024521
2025-12,66,35,31,0.5303030303030303,41478.20076533387,21711.832236609556,19766.368528724317,299.49043225339875,3144.5973306893934,-1419.851397691808,1.9103961523521316,0 days 09:19:46.363636363,370220.5985311764
2026-01,104,62,42,0.5961538461538461,75730.59807663447,25009.287686332314,50721.310390302126,487.7049075990589,6165.79470589496,-1264.744923281839,3.028098961731788,0 days 06:21:12.115384615,420941.90892147855
2026-02,124,65,59,0.5241935483870968,69661.21646524432,39162.555608464536,30498.660856779785,245.95694239338536,3230.523675265822,-1745.4308539628798,1.7787709556469253,0 days 04:20:33.870967741,451440.56977825833
2026-03,100,49,51,0.49,46970.97789219429,30181.381065455815,16789.59682673847,167.89596826738472,3532.546678185426,-1347.437005678536,1.556289879191614,0 days 06:34:48,468230.1666049968
2026-04,12,8,4,0.6666666666666666,5458.2308280266425,2917.7038864043966,2540.526941622247,211.71057846852057,1566.4999999999977,-1155.490647036835,1.8707281617782807,0 days 05:55:00,470770.69354661903
