trade_num,original_pnl,adjusted_pnl,skipped,slippage_cost,spread_cost,lot_penalty,balance_theo,balance_real
1,-2.2191842449493038,-2.3437381758075997,False,0.12455393085829573,0.0,-0.0,97.7808157550507,97.6562618241924
2,-2.1987522377061595,-2.3329922974750485,False,0.036740059768889236,0.0975,-0.0,95.58206351734454,95.32326952671735
3,-1.196768830034813,-1.4094812941429433,False,0.11521246410813035,0.0975,-0.0,94.38529468730972,93.9137882325744
4,2.549731986835212,2.527957400215526,False,0.02177458661968617,0.0,0.0,96.93502667414494,96.44174563278993
5,1.8083529529373692,1.7653894812074198,False,0.042963471729949514,0.0,0.0,98.7433796270823,98.20713511399735
6,2.702473747495901,2.5518549796488723,False,0.05311876784702891,0.0975,0.0,101.4458533745782,100.75899009364622
7,-4.989792972516852,-5.093154612500619,False,0.10336163998376727,0.0,-0.0,96.45606040206135,95.66583548114559
8,6.713324177265093,6.661542193601952,False,0.05178198366314161,0.0,0.0,103.16938457932645,102.32737767474754
9,-1.7629911766718749,-1.975515064139731,False,0.21252388746785603,0.0,-0.0,101.40639340265457,100.35186261060781
10,-2.0055692219939374,-2.695492841712449,False,0.1699236197185114,0.52,-0.0,99.40082418066063,97.65636976889536
11,0.7545800320546334,0.7162371163871877,False,0.038342915667445715,0.0,0.0,100.15540421271527,98.37260688528255
12,9.692097938060613,9.439693258751134,False,0.25240467930947763,0.0,0.0,109.84750215077588,107.81230014403369
13,30.710948411730584,30.650362874535173,False,0.060585537195410835,0.0,0.0,140.55845056250647,138.46266301856886
14,7.461332491324811,7.395362041424114,False,0.06597044990069612,0.0,0.0,148.01978305383128,145.85802505999297
15,9.724372422695012,9.289412613835601,False,0.23995980885941084,0.195,0.0,157.7441554765263,155.14743767382856
16,4.543199140380551,4.4353109925647916,False,0.10788814781575981,0.0,0.0,162.28735461690684,159.58274866639334
17,-0.07990678390410721,-0.15975961857524867,False,0.07985283467114147,0.0,-0.0,162.20744783300273,159.4229890478181
18,0.10951033405959265,-0.33211893202609316,False,0.2466292660856858,0.195,0.0,162.31695816706232,159.090870115792
19,3.6918144061354496,3.4490802001953407,False,0.24273420594010883,0.0,0.0,166.00877257319777,162.53995031598734
20,-2.6496578458503848,-2.6986530766996135,False,0.0489952308492289,0.0,-0.0,163.3591147273474,159.84129723928774
21,10.602723612600785,10.308755476578755,False,0.098968136022031,0.195,0.0,173.96183833994817,170.1500527158665
22,14.688677936275312,14.537048146313944,False,0.15162978996136672,0.0,0.0,188.65051627622347,184.68710086218044
23,-2.3651651705233405,-2.6895934696433046,False,0.3244282991199641,0.0,-0.0,186.28535110570013,181.99750739253713
24,2.5904735300135258,2.275974388991684,False,0.3144991410218419,0.0,0.0,188.87582463571366,184.2734817815288
25,-2.9623638233681646,0.0,True,0.0,0.0,0.0,185.91346081234548,184.2734817815288
26,4.291472146035602,3.706148936550117,False,0.29282320948548507,0.2925,0.0,190.20493295838108,187.9796307180789
27,0.21607396485221386,0.1330281628023629,False,0.08304580204985094,0.0,0.0,190.42100692323328,188.11265888088127
