pair,trades,win_rate,profit_factor,final_balance,roi_pct,max_drawdown,sharpe
GBP/JPY,1979,0.5315816068721576,2.0461119675288333,470870.693546618,470770.693546618,0.3712249215826827,3.534
EUR/JPY,1497,0.5237140948563794,1.942449446282258,240102.10674384513,240002.10674384513,0.5816415629293568,3.007
GBP/USD,1,0.0,0.0,99.39665,-0.6033500000000025,0.017432962011308863,0.0
