exit_year,trades,wins,losses,win_rate,gross_profit,gross_loss,net_pnl,avg_pnl,max_win,max_loss,profit_factor,avg_duration,cumulative_pnl
2024,679,356,323,0.524300441826215,84089.81291908176,50709.653379532974,33380.15953954878,49.160765153974644,3121.3971892654563,-1554.3059017538847,1.6582604556516534,0 days 02:59:04.329896907,33380.15953954878
2025,960,512,448,0.5333333333333333,638879.2703530292,302038.8313614015,336840.43899162766,350.8754572829455,9765.510065330225,-1701.1339262127692,2.115222295998705,0 days 06:13:24.375000,370220.59853117645
2026,340,184,156,0.5411764705882353,197821.0232620997,97270.92824665704,100550.09501544264,295.7355735748313,6165.79470589496,-1745.4308539628798,2.0337116837259988,0 days 05:40:16.764705882,470770.6935466191
