exit_date,trades,wins,losses,win_rate,gross_profit,gross_loss,net_pnl,avg_pnl,max_win,max_loss,profit_factor,avg_duration,cumulative_pnl
2024-07-02,3,1,2,0.3333333333333333,8.391889929771423,5.88595346224281,2.5059364675286133,0.8353121558428711,8.391889929771423,-3.1541963117120986,1.425748603621093,0 days 07:20:00,2.5059364675286133
2024-07-03,4,0,4,0.0,0.0,11.33438674628735,-11.33438674628735,-2.8335966865718376,-2.5845104076861958,-3.0563966603278914,0.0,0 days 03:41:15,-8.828450278758737
2024-07-04,3,0,3,0.0,0.0,9.823324779868585,-9.823324779868585,-3.2744415932895286,-2.8819812617899743,-3.695075175583611,0.0,0 days 07:50:00,-18.651775058627322
2024-07-05,3,1,2,0.3333333333333333,8.227617502212468,6.013974083840878,2.213643418371589,0.7378811394571964,8.227617502212468,-3.0422669060826024,1.3680832985827944,0 days 08:25:00,-16.438131640255733
2024-07-08,2,0,2,0.0,0.0,5.483944805234557,-5.483944805234557,-2.7419724026172787,-2.498747300326727,-2.9851975049078305,0.0,1 days 07:30:00,-21.92207644549029
2024-07-10,2,2,0,1.0,16.41514205932623,0.0,16.41514205932623,8.207571029663114,8.280360102653503,8.134781956672725,16415142059.326227,1 days 04:22:30,-5.506934386164062
2024-07-11,7,1,6,0.14285714285714285,8.398018598556405,18.142726795166197,-9.744708196609793,-1.3921011709442561,8.398018598556405,-3.545077043026481,0.462886240495773,0 days 04:17:08.571428571,-15.251642582773854
2024-07-12,5,1,4,0.2,8.383274674415588,10.55574980208263,-2.1724751276670418,-0.43449502553340835,8.383274674415588,-2.9311447976229488,0.7941903542239684,0 days 02:54:00,-17.424117710440896
2024-07-14,1,0,1,0.0,0.0,2.7821464605329993,-2.7821464605329993,-2.7821464605329993,-2.7821464605329993,-2.7821464605329993,0.0,2 days 06:00:00,-20.206264170973895
2024-07-15,1,1,0,1.0,7.897866368293762,0.0,7.897866368293762,7.897866368293762,7.897866368293762,7.897866368293762,7897866368.293761,0 days 19:00:00,-12.308397802680133
2024-07-16,2,1,1,0.5,8.35117650032032,3.566388024866569,4.784788475453752,2.392394237726876,8.35117650032032,-3.566388024866569,2.341634292761166,0 days 07:00:00,-7.5236093272263815
2024-07-17,12,4,8,0.3333333333333333,30.542497158050423,23.706087389946333,6.83640976810409,0.5697008140086742,7.843129634857178,-3.5894651870728467,1.2883820368857404,0 days 03:22:30,-0.6871995591222912
2024-07-18,5,1,4,0.2,8.39988541603077,11.132468738346972,-2.732583322316202,-0.5465166644632404,8.39988541603077,-3.5688921811581054,0.754539322180755,0 days 02:57:00,-3.4197828814384934
2024-07-19,3,0,3,0.0,0.0,7.095034525930828,-7.095034525930828,-2.3650115086436094,-1.8489312129023006,-2.908190469950398,0.0,0 days 07:20:00,-10.514817407369321
2024-07-22,4,3,1,0.75,24.29756104946108,1.7200765981971244,22.577484451263956,5.644371112815989,8.375285983085519,-1.7200765981971244,14.125859903523045,0 days 19:18:45,12.062667043894635
2024-07-23,4,2,2,0.5,15.408984303474256,6.4708128468987525,8.938171456575503,2.234542864143876,7.8028396368026165,-3.685321369170822,2.3813058217035707,0 days 05:41:15,21.000838500470138
2024-07-24,10,4,6,0.4,30.963652968406734,16.896287841260573,14.06736512714616,1.406736512714616,7.881196975708065,-3.3508649468421936,1.8325713469910112,0 days 02:12:00,35.0682036276163
2024-07-25,12,4,8,0.3333333333333333,32.33820497989683,19.468876990467265,12.869327989429564,1.0724439991191304,8.38033819198614,-3.114233772397199,1.6610205609563868,0 days 02:17:30,47.93753161704586
2024-07-26,6,4,2,0.6666666666666666,32.32972741127014,3.3580262919366533,28.97170111933349,4.828616853222248,8.416358828544617,-1.7077003105580957,9.62759805928286,0 days 03:30:00,76.90923273637935
2024-07-29,5,1,4,0.2,7.283167004585209,9.846241643607527,-2.563074639022318,-0.5126149278044636,7.283167004585209,-3.5592147026358134,0.7396900531395812,0 days 13:33:00,74.34615809735703
2024-07-30,8,6,2,0.75,47.23308420181269,4.905275838196417,42.32780836361627,5.290976045452034,8.419454813003426,-2.9606487293244754,9.629037338536186,0 days 04:18:45,116.6739664609733
2024-07-31,21,7,14,0.3333333333333333,46.59762523466327,29.37316031840396,17.224464916259308,0.820212615059967,8.088725566863957,-3.079642295837459,1.5864014879416022,0 days 01:07:51.428571428,133.8984313772326
2024-08-01,22,11,11,0.5,85.63490331172972,33.557889230758065,52.07701408097165,2.3671370036805297,8.397198200225944,-3.7938492676019564,2.5518560694586108,0 days 01:00:40.909090909,185.97544545820426
2024-08-02,16,5,11,0.3125,34.70038263156994,30.708639608234023,3.991743023335914,0.24948393895849463,8.410086035728455,-3.496374785900116,1.129987621537803,0 days 01:18:45,189.96718848154018
2024-08-04,3,3,0,1.0,22.63892948627472,0.0,22.63892948627472,7.54630982875824,7.780872344970646,7.313470244407654,22638929486.27472,0 days 00:40:00,212.6061179678149
2024-08-05,50,18,32,0.36,131.00404481103965,78.54163142287717,52.462413388162474,1.0492482677632495,8.397596955299491,-3.363226032257103,1.667956756661939,0 days 00:27:54,265.06853135597737
2024-08-06,36,12,24,0.3333333333333333,94.11205136776005,57.37209541296835,36.7399559547917,1.0205543320775472,8.402964234352055,-3.811377100378195,1.6403802352055459,0 days 00:35:50,301.80848731076907
2024-08-07,25,12,13,0.48,87.90413866460312,37.50052616107524,50.40361250352788,2.0161445001411153,8.390027403831368,-3.721601843834037,2.3440774747274284,0 days 01:00:00,352.21209981429695
2024-08-08,13,5,8,0.38461538461538464,41.80743348598469,21.85694318497184,19.95049030101285,1.5346531000779113,8.419863224029598,-3.328132794588896,1.9127758686187275,0 days 01:46:09.230769230,372.1625901153098
2024-08-09,8,3,5,0.375,37.12423002719845,21.75380747169271,15.37042255550574,1.9213028194382176,14.649869441985857,-5.72824544656271,1.7065624063974367,0 days 01:39:22.500000,387.53301267081554
2024-08-11,1,1,0,1.0,8.39364659786213,0.0,8.39364659786213,8.39364659786213,8.39364659786213,8.39364659786213,8393646597.862129,2 days 10:30:00,395.92665926867767
2024-08-12,3,3,0,1.0,30.787270188331775,0.0,30.787270188331775,10.262423396110592,14.74097299575817,7.906386137008781,30787270188.33177,0 days 03:40:00,426.71392945700944
2024-08-13,5,2,3,0.4,23.417273283004647,13.509449607431634,9.907823675573013,1.9815647351146026,15.451827764510995,-5.913604236960737,1.7333995065293153,0 days 04:15:00,436.62175313258246
2024-08-14,11,4,7,0.36363636363636365,45.37518310546858,31.230427424669074,14.144755680799506,1.2858868800726824,14.694504976272356,-5.985579371452445,1.4529158531345137,0 days 02:42:16.363636363,450.76650881338196
2024-08-15,2,2,0,1.0,16.258415222168026,0.0,16.258415222168026,8.129207611084013,8.360980153083801,7.897435069084224,16258415222.168024,0 days 09:37:30,467.02492403555
2024-08-16,3,2,1,0.6666666666666666,28.523846626281397,5.507327366888717,23.01651925939268,7.672173086464227,14.790345668792497,-5.507327366888717,5.179253878709506,0 days 05:20:00,490.04144329494267
2024-08-18,1,1,0,1.0,16.41747021675087,0.0,16.41747021675087,16.41747021675087,16.41747021675087,16.41747021675087,16417470216.75087,2 days 10:00:00,506.45891351169354
2024-08-19,8,5,3,0.625,77.3375287055967,19.47657744133437,57.860951264262326,7.232618908032791,16.485802173614275,-6.833600521087533,3.970796662737382,0 days 01:43:07.500000,564.3198647759559
2024-08-20,6,2,4,0.3333333333333333,31.87616658210743,24.94594479614591,6.930221785961521,1.1550369643269203,16.561464071273804,-6.774706840217277,1.2778095535203873,0 days 04:10:00,571.2500865619174
2024-08-21,6,2,4,0.3333333333333333,31.248443126678467,12.357971119702711,18.890472006975756,3.148412001162626,16.252966403961295,-4.254293312251889,2.528606259393022,0 days 04:32:30,590.1405585688932
2024-08-22,3,3,0,1.0,47.59373831748974,0.0,47.59373831748974,15.864579439163245,16.44554185867321,14.73117041587841,47593738317.48974,0 days 05:50:00,637.7342968863829
2024-08-23,4,2,2,0.5,31.130112648010595,10.089247705936373,21.040864942074222,5.2602162355185555,16.262467861175764,-5.831870460033315,3.0854741161418873,0 days 06:30:00,658.7751618284572
2024-08-25,2,1,1,0.5,14.86999082565319,4.87574952006355,9.99424130558964,4.99712065279482,14.86999082565319,-4.87574952006355,3.049785630796591,1 days 01:45:00,668.7694031340468
2024-08-26,3,0,3,0.0,0.0,10.71208586668945,-10.71208586668945,-3.570695288896483,-2.903286031723269,-4.687286021947443,0.0,0 days 04:40:00,658.0573172673573
2024-08-27,2,1,1,0.5,16.460595846176034,5.48329813724763,10.977297708928404,5.488648854464202,16.460595846176034,-5.48329813724763,3.001951641906985,0 days 10:45:00,669.0346149762858
2024-08-28,4,1,3,0.25,14.106222867965812,13.581301472245855,0.5249213957199572,0.1312303489299893,14.106222867965812,-6.234555148780032,1.0386503014304382,0 days 08:18:45,669.5595363720057
2024-08-29,4,2,2,0.5,32.347655296325684,13.334169676780903,19.01348561954478,4.753371404886195,16.213708877563704,-7.026664974689538,2.4259219794280407,0 days 04:26:15,688.5730219915505
2024-08-30,2,1,1,0.5,16.61229372024536,5.486186279654817,11.126107440590545,5.563053720295272,16.61229372024536,-5.486186279654817,3.0280221766896664,0 days 12:00:00,699.699129432141
2024-09-02,3,1,2,0.3333333333333333,16.154689550400008,11.864883805364741,4.289805745035267,1.429935248345089,16.154689550400008,-7.036141218156047,1.3615548045313026,0 days 20:15:00,703.9889351771762
2024-09-03,8,3,5,0.375,68.05462181568146,32.30581249129585,35.748809324385604,4.4686011655482005,23.156468510628088,-8.165455203472902,2.1065751506487382,0 days 03:45:00,739.7377445015618
2024-09-04,6,1,5,0.16666666666666666,23.02870202064497,30.068865300535492,-7.040163279890521,-1.1733605466484203,23.02870202064497,-7.726359486579781,0.7658653491069667,0 days 05:02:30,732.6975812216713
2024-09-05,6,1,5,0.16666666666666666,16.826208114624137,26.008160946429086,-9.18195283180495,-1.5303254719674915,16.826208114624137,-6.628291394233656,0.6469587814871767,0 days 03:02:30,723.5156283898664
2024-09-06,10,5,5,0.5,106.8020303249358,34.08235453069068,72.71967579424512,7.271967579424512,22.70509350299818,-9.68572964394042,3.1336458937648244,0 days 02:25:30,796.2353041841116
2024-09-09,6,1,5,0.16666666666666666,16.75482130050682,33.59792470666747,-16.84310340616065,-2.807183901026775,16.75482130050682,-8.164635993539946,0.4986861970430526,0 days 12:20:00,779.3922007779508
2024-09-10,6,3,3,0.5,61.33938252925901,20.758651796489005,40.58073073277001,6.7634551221283346,22.688955187797717,-8.641111960172054,2.954882770355712,0 days 03:45:00,819.9729315107209
2024-09-11,10,6,4,0.6,116.61831700801883,38.629877178848346,77.98843982917049,7.798843982917049,22.615238428115845,-11.173222839832135,3.018863261410336,0 days 02:31:30,897.9613713398913
2024-09-12,7,1,6,0.14285714285714285,25.007213115691798,38.34229132738642,-13.335078211694622,-1.9050111730992316,25.007213115691798,-8.468610305070854,0.6522096684876553,0 days 02:45:00,884.6262931281967
2024-09-13,3,2,1,0.6666666666666666,42.71179246902449,7.76778691238178,34.94400555664271,11.648001852214236,21.919445514679126,-7.76778691238178,5.498579318768681,0 days 03:35:00,919.5702986848394
2024-09-16,4,3,1,0.75,73.89040160179121,4.293268806696062,69.59713279509515,17.399283198773787,25.041790008544922,-4.293268806696062,17.21075593648991,0 days 21:22:30,989.1674314799345
2024-09-17,4,3,1,0.75,71.88639450073225,5.686642999648939,66.19975150108331,16.549937875270828,25.071702003479004,-5.686642999648939,12.641270870207627,0 days 04:56:15,1055.3671829810178
2024-09-18,8,6,2,0.75,157.67983424663498,19.984849023252593,137.6949852233824,17.2118731529228,29.497750282287143,-10.015072922408308,7.889968748984431,0 days 03:30:00,1193.0621682044002
2024-09-19,8,4,4,0.5,103.6810233592982,40.00019994324333,63.680823416054864,7.960102927006858,29.85506772994995,-13.31400356948393,2.592012627597167,0 days 01:50:37.500000,1256.742991620455
2024-09-20,8,2,6,0.25,62.52586126327515,57.847068365693985,4.678792897581161,0.5848491121976451,33.16239738464333,-12.185630830765604,1.0808821091503387,0 days 02:43:07.500000,1261.4217845180362
2024-09-23,8,5,3,0.625,156.6799871921546,32.25566155511018,124.42432563704443,15.553040704630554,37.01170027256069,-14.710995536327118,4.857441442472359,0 days 08:41:15,1385.8461101550806
2024-09-24,8,3,5,0.375,104.58634257316646,66.95657581731922,37.62976675584724,4.703720844480905,39.87192749977169,-14.933809454798848,1.5620025560822333,0 days 02:41:15,1423.4758769109278
2024-09-25,2,1,1,0.5,30.22381925582863,10.462149893045307,19.761669362783323,9.880834681391661,30.22381925582863,-10.462149893045307,2.888872704444796,0 days 08:52:30,1443.2375462737111
2024-09-26,3,3,0,1.0,101.93768405914426,0.0,101.93768405914426,33.97922801971475,36.91750288009672,32.49965143203781,101937684059.14426,0 days 04:25:00,1545.1752303328553
2024-09-27,12,6,6,0.5,222.05791238844313,78.01452822348324,144.0433841649599,12.003615347079991,46.5702424049374,-14.52818723022915,2.846366150575544,0 days 02:08:45,1689.2186144978152
2024-09-29,1,0,1,0.0,0.0,8.254609544276263,-8.254609544276263,-8.254609544276263,-8.254609544276263,-8.254609544276263,0.0,2 days 05:45:00,1680.964004953539
2024-09-30,8,4,4,0.5,170.58648383617424,65.66386457222734,104.9226192639469,13.115327407993362,44.65343928337063,-18.529046071618893,2.5978745684171036,0 days 02:20:37.500000,1785.8866242174859
2024-10-01,12,5,7,0.4166666666666667,208.06695485115029,91.00861350730213,117.05834134384816,9.754861778654012,46.71705579757656,-19.266122907400533,2.286233652317491,0 days 01:57:30,1902.944965561334
2024-10-02,8,7,1,0.875,339.5156185626979,18.683294119834954,320.83232444286296,40.10404055535787,51.017659664154856,-18.683294119834954,18.172149749666154,0 days 03:37:30,2223.777290004197
2024-10-03,5,4,1,0.8,224.36851787567434,15.87040034723259,208.49811752844175,41.69962350568835,60.80036830902145,-15.87040034723259,14.137546184510635,0 days 01:57:00,2432.2754075326384
2024-10-04,4,3,1,0.75,178.51235675811893,3.495392636955899,175.01696412116303,43.75424103029076,62.39255619049118,-3.495392636955899,51.07075951089245,0 days 07:33:45,2607.2923716538016
2024-10-07,6,3,3,0.5,190.52318108081806,68.17972086712473,122.34346021369333,20.39057670228222,67.19669044017792,-25.874598026275635,2.7944259474474555,0 days 11:30:00,2729.6358318674947
2024-10-08,3,1,2,0.3333333333333333,58.48422574996989,36.75738130608238,21.726844443887508,7.242281481295836,58.48422574996989,-19.091820645332977,1.5910879304204484,0 days 07:25:00,2751.362676311382
2024-10-09,2,1,1,0.5,65.65404510497956,18.945899730920246,46.70814537405931,23.354072687029657,65.65404510497956,-18.945899730920246,3.4653432160748903,0 days 12:00:00,2798.0708216854414
2024-10-10,2,0,2,0.0,0.0,32.5314005472066,-32.5314005472066,-16.2657002736033,-14.919746721268154,-17.611653825938447,0.0,0 days 12:07:30,2765.539421138235
2024-10-11,1,0,1,0.0,0.0,10.517005204259817,-10.517005204259817,-10.517005204259817,-10.517005204259817,-10.517005204259817,0.0,0 days 19:00:00,2755.022415933975
2024-10-14,1,1,0,1.0,57.72643053531568,0.0,57.72643053531568,57.72643053531568,57.72643053531568,57.72643053531568,57726430535.315674,3 days 04:30:00,2812.7488464692906
2024-10-15,4,0,4,0.0,0.0,86.89018299606147,-86.89018299606147,-21.722545749015367,-19.201169056445053,-26.186063863634388,0.0,0 days 06:26:15,2725.858663473229
2024-10-16,3,0,3,0.0,0.0,57.01037107944501,-57.01037107944501,-19.00345702648167,-17.61701913035097,-19.798163458227695,0.0,0 days 05:40:00,2668.848292393784
2024-10-17,3,1,2,0.3333333333333333,57.66400337219239,40.41285990858171,17.25114346361068,5.7503811545368935,57.66400337219239,-20.635331242560824,1.4268726217999579,0 days 10:35:00,2686.099435857395
2024-10-18,3,2,1,0.6666666666666666,123.70269548892963,21.826124104500195,101.87657138442944,33.958857128143144,65.79527699947306,-21.826124104500195,5.667643732650825,0 days 07:45:00,2787.9760072418244
2024-10-20,1,0,1,0.0,0.0,21.283686608076096,-21.283686608076096,-21.283686608076096,-21.283686608076096,-21.283686608076096,0.0,2 days 07:15:00,2766.6923206337483
2024-10-21,1,0,1,0.0,0.0,12.793490953447133,-12.793490953447133,-12.793490953447133,-12.793490953447133,-12.793490953447133,0.0,0 days 11:30:00,2753.8988296803013
2024-10-22,3,1,2,0.3333333333333333,64.33915901184037,31.608066396831877,32.73109261500849,10.91036420500283,64.33915901184037,-21.432461960792185,2.03552973484924,0 days 09:30:00,2786.62992229531
2024-10-23,3,2,1,0.6666666666666666,124.70080375671472,17.133624151826155,107.56717960488857,35.855726534962855,66.67875480651901,-17.133624151826155,7.278133490714148,0 days 08:45:00,2894.1971019001985
2024-10-24,4,3,1,0.75,208.11832380294817,20.87180517911804,187.24651862383013,46.81162965595753,75.3857874870306,-20.87180517911804,9.971266117947849,0 days 06:30:00,3081.4436205240286
2024-10-25,2,1,1,0.5,72.9680435657491,25.741066074372156,47.22697749137694,23.61348874568847,72.9680435657491,-25.741066074372156,2.8346939227352435,0 days 07:15:00,3128.6705980154056
