exit_year,trades,wins,losses,win_rate,gross_profit,gross_loss,net_pnl,avg_pnl,max_win,max_loss,profit_factor,avg_duration,cumulative_pnl
2024,787,336,451,0.4269377382465057,16518.418003876814,7103.458585149978,9414.959418726836,11.963099642600808,235.48649311065333,-95.23861259221889,2.3254049848913216,0 days 05:18:08.691232528,9414.959418726836
2025,867,387,480,0.4463667820069204,847671.3919853658,368050.4706234894,479620.92136187636,553.1959877299612,4208.2080245018005,-1998.0850079655,2.3031389976200356,0 days 09:22:52.318339100,489035.8807806032
2026,212,100,112,0.4716981132075472,383208.94840571255,159022.60503905764,224186.3433666549,1057.4827517295043,4195.864677429171,-2041.5196514278477,2.409776574290129,0 days 10:07:25.754716981,713222.2241472581
