exit_month,trades,wins,losses,win_rate,gross_profit,gross_loss,net_pnl,avg_pnl,max_win,max_loss,profit_factor,avg_duration,cumulative_pnl
2024-07,123,44,79,0.35772357723577236,341.4593753605476,207.56094398331498,133.8984313772326,1.0886051331482327,8.419454813003426,-3.695075175583611,1.645104174261205,0 days 05:46:35.121951219,133.8984313772326
2024-08,243,104,139,0.4279835390946502,1017.6819669622768,451.8812689073684,565.8006980549084,2.328397934382339,16.61229372024536,-7.026664974689538,2.2521003568547835,0 days 02:37:09.629629629,699.699129432141
2024-09,139,64,75,0.460431654676259,1749.0335225254305,662.8460277400854,1086.1874947853448,7.814298523635574,46.5702424049374,-18.529046071618893,2.6386724055488493,0 days 05:04:25.467625899,1785.8866242174859
2024-10,94,47,47,0.5,2976.2496106624644,925.9327635647289,2050.316847097735,21.811881352103562,98.18818759918287,-36.58354936077956,3.2143258428444246,0 days 07:49:28.085106382,3836.2034713152207
2024-11,107,39,68,0.3644859813084112,4327.0189000368155,2574.0454570997204,1752.9734429370953,16.382929373243883,144.17581987381197,-53.68533206283985,1.6810188367505523,0 days 05:56:38.130841121,5589.176914252316
2024-12,81,38,43,0.4691358024691358,6106.97462832928,2281.19212385476,3825.78250447452,47.23188277129037,235.48649311065333,-95.23861259221889,2.6770978930129345,0 days 09:15:00,9414.959418726836
2025-01,94,46,48,0.48936170212765956,13725.467202186563,5144.365932989607,8581.101269196959,91.28831137443574,415.57108283043226,-164.8693667846885,2.6680581010321163,0 days 07:38:37.021276595,17996.060687923797
2025-02,98,41,57,0.41836734693877553,19950.28798019891,9705.102112452863,10245.185867746048,104.54271293618416,673.6439269781113,-252.23014955235783,2.0556494665419534,0 days 06:30:55.102040816,28241.246555669844
2025-03,124,58,66,0.46774193548387094,51808.0505425932,21777.47704098288,30030.573501610328,242.18204436782523,1379.199394226085,-536.7664137153042,2.3789739484099095,0 days 05:06:24.677419354,58271.82005728017
2025-04,174,68,106,0.39080459770114945,118582.0751136032,67129.76306923047,51452.31204437275,295.70294278375144,2516.287726163864,-1020.8961503759155,1.7664605041330226,0 days 03:53:26.896551724,109724.13210165293
2025-05,60,33,27,0.55,98925.93794310102,29934.837152228698,68991.10079087231,1149.8516798478718,3792.1839637756625,-1442.8714674693424,3.3047094073045864,0 days 11:44:30,178715.23289252524
2025-06,49,22,27,0.4489795918367347,84479.93614947819,35100.379385325556,49379.556764152636,1007.7460564112782,4161.7385745048805,-1811.441784024197,2.406809773252673,0 days 14:44:23.265306122,228094.78965667787
2025-07,51,24,27,0.47058823529411764,92120.22221088418,37785.85995836594,54334.36225251824,1065.3796520101616,4135.586678981725,-1851.4822218418203,2.437954894036715,0 days 12:57:03.529411764,282429.1519091961
2025-08,36,17,19,0.4722222222222222,65644.42795515049,23218.120983212888,42426.30697193761,1178.508526998267,4119.70317363739,-1990.13185724624,2.8272928719172654,0 days 17:22:55,324855.4588811337
2025-09,33,11,22,0.3333333333333333,39502.64876961711,29724.07723174939,9778.571537867716,296.32034963235503,4195.870935916872,-1829.0708733199779,1.328978136533129,0 days 21:08:38.181818181,334634.0304190014
2025-10,61,26,35,0.4262295081967213,103468.79482269273,45988.4044149662,57480.39040772653,942.3014820938776,4208.2080245018005,-1788.6141300202496,2.2498887738975446,0 days 12:09:50.163934426,392114.42082672793
2025-11,51,24,27,0.47058823529411764,95672.53196239477,37874.62015230887,57797.911810085905,1133.2923884330569,4199.007689952907,-1957.89635181427,2.526032778088799,0 days 12:56:45.882352941,449912.33263681387
2025-12,36,17,19,0.4722222222222222,63791.01133346537,24667.463189676084,39123.548143789296,1086.7652262163692,4200.104892253904,-1998.0850079655,2.5860385740907246,0 days 18:08:45,489035.88078060315
2026-01,64,33,31,0.515625,125623.3657869997,43780.03361128178,81843.3321757179,1278.802065245592,4195.864677429171,-1931.5362339466446,2.8694214102802222,0 days 11:56:00.937500,570879.2129563211
2026-02,78,40,38,0.5128205128205128,153490.71425199468,52315.71631698188,101174.9979350128,1297.1153581411897,4164.534687995882,-1997.6709125339198,2.933931236303669,0 days 08:09:13.846153846,672054.2108913339
2026-03,66,24,42,0.36363636363636365,92927.19107866276,61433.26266852,31493.928410142762,477.18073348701154,4189.231574535342,-2041.5196514278477,1.5126527070534552,0 days 10:11:35.454545454,703548.1393014767
2026-04,4,3,1,0.75,11167.677288055416,1493.5924422739788,9674.084845781435,2418.521211445359,4091.217756271419,-1493.5924422739788,7.477057979118283,0 days 18:26:15,713222.2241472581
